docId,filename,0 12 understandability 10,1 code naming identifier,2 time group tasks,3 line comments lines,4 code expert style,5 0 code indentation,6 readability code study,7 program comprehension regular,8 program experiment variable,9 code questions identifiers
0,an empirical investigation of the influence of a type of side effects on program comprehension,1.770176693203092E-4,5.823030017501181E-4,0.7289806118355414,4.441868675280403E-4,2.4857905379275694E-4,2.8947996490167894E-4,0.024849563880936273,2.2838335854572043E-4,0.2436041665041989,5.957078634847381E-4
1,indentation simply a matter of style or support for program comprehension,8.962612793410699E-5,0.0033422851220280946,3.4900763312727915E-4,2.248970352427462E-4,1.2585849854714369E-4,0.8016280904387284,0.003439251665186434,1.1563318051601614E-4,0.1903837364011109,3.0161389757893024E-4
2,typographic style is more than cosmetic,1.2507372488490981E-4,4.114324051389799E-4,4.870419563432163E-4,0.5914452278565422,1.7563618539101082E-4,2.045351609747581E-4,5.467497174180887E-4,1.6136670121530023E-4,0.40176928877698903,0.004673647515102502
3,detecting and comparing brain activity in short program comprehension using eeg,1.770176693203092E-4,5.823030017501181E-4,6.893136991995175E-4,4.441868675280403E-4,2.4857905379275694E-4,2.8947996490167894E-4,0.012811691184467813,2.2838335854572043E-4,0.2857367209418385,0.6987923242586556
4,program readability procedures versus comments,1.9330667755041329E-4,6.358860052115344E-4,7.527437317069911E-4,0.46058060616856,2.7145307686971286E-4,3.161176533812476E-4,8.450245758889175E-4,2.493989917378994E-4,0.5289321452398381,0.0072233178792551565
5,a paradigm for programming style research,0.0709675768470361,3.6079783995600654E-4,0.019073916889866073,2.75220395325584E-4,1.5402081974020404E-4,1.7936322796406598E-4,0.011667550602341755,1.415074663835483E-4,0.896810942352339,3.6910355904765443E-4
6,relating identifier naming flaws and code quality an empirical study,2.5542412987625084E-4,0.23533264811791388,9.946315105484008E-4,6.409306176973282E-4,3.5868220819011844E-4,4.1769936546744396E-4,0.7480183659734735,3.295412308767966E-4,0.012792512016777006,8.595648291793016E-4
7,program factors as predictors of program readability,1.0927350894612897E-4,3.594572932488553E-4,4.255153000566924E-4,2.7419781216727143E-4,1.5344855438861367E-4,1.7869680273086458E-4,0.10451186138403888,0.694940690772138,0.10207595831284275,0.09697090025944197
8,does the discipline of preprocessor annotations matter a controlled experiment,1.8956868998534882E-4,6.235898237738324E-4,0.7935586538170798,4.756808905534808E-4,2.662039657748679E-4,3.1000485959465783E-4,8.286842642303981E-4,2.44576342351601E-4,0.2028650922210175,6.379451256384645E-4
9,beacons in computer program comprehension,1.4266903556348575E-4,4.693125154364505E-4,0.005406576463586266,0.42724755256019376,2.003445983786187E-4,2.3330906776737183E-4,6.236662012778859E-4,1.8406769012142585E-4,0.5650123855793557,4.8011628831902967E-4
10,effective identifier names for comprehension and memory,7.033520404349209E-5,2.3136899610356335E-4,2.7388802411268637E-4,1.764907089839303E-4,9.876900162895679E-5,1.1502033935957231E-4,3.0746468109676175E-4,9.074455778979296E-5,0.14940597407241954,0.8492299444144618
11,enhancing program comprehension formatting and documenting,3.7161063563063556E-4,0.013857886391888025,0.0014470662894387606,0.7464249757698818,5.218384161257862E-4,6.077011078752523E-4,0.0016244659716304637,4.794418848836206E-4,0.23341445262169414,0.0012505609109515797
12,measuring the difficulty of code comprehension tasks using software metrics,1.3062904337819004E-4,4.2970673135023273E-4,0.004950309705255122,3.277848240186138E-4,1.8343730388883846E-4,0.02242179547811479,0.03610411532344641,1.6853402129220581E-4,0.1797661180127961,0.7555175695564594
13,meaningful identifier names the case of singleletter variables,1.003271231520762E-4,0.07537890052324397,3.9067772531150847E-4,2.5174882672521903E-4,0.010374822655591242,1.6406662792626303E-4,4.3857194053541443E-4,1.294393120567002E-4,0.9124338198949963,3.3762537046145945E-4
14,measuring neural efficiency of program comprehension,8.801676345534107E-5,0.08408616379113448,0.009320951166006166,2.2085868941388765E-4,1.2359853037065946E-4,1.4393529015291524E-4,0.10812328372447977,0.6585156572843623,0.10915396856633235,0.03022356619429218
15,linking code readability structure and comprehension among novices its complicated,6.282304350411554E-5,0.0023427601801418963,2.446353783725123E-4,1.576405960479411E-4,0.8523931491893965,1.0273557717947843E-4,0.008819036194209174,8.10525735912381E-5,0.12490423942388655,0.010891927843670612
16,the effects of naming style and expertise on program comprehension,1.462155055782881E-4,0.1546007146636832,5.69368873838935E-4,3.6689561926910497E-4,2.0532476879871813E-4,2.3910866969045544E-4,6.391693093863968E-4,1.886432487991116E-4,0.8425525083114126,4.920510295431263E-4
17,on method ordering,1.289113123405225E-4,4.240562223175822E-4,0.7018186273595696,3.234745561690433E-4,1.8102516075276987E-4,0.004594039842684842,0.06192873156969583,0.004549546862209274,0.2256177689380962,4.3381817616427017E-4
18,automatically assessing code understandability reanalyzed combined metrics matter,0.4419076862603082,3.503453211083233E-4,0.04387058284835195,2.672471037732891E-4,1.495587488989085E-4,1.741669731275506E-4,0.2575793745854026,1.3740791451360835E-4,0.0741391613205378,0.18142446892397787
19,an experimental investigation of the effect of program structure on program understanding,1.5885145068127878E-4,5.225448788205066E-4,0.006019824211104051,3.9860274147393766E-4,2.2306893687831826E-4,2.5977244274180255E-4,6.944063259598448E-4,2.0494579979360303E-4,0.5642846216151932,0.4272333615973534
20,a comprehensive model for code readability,4.280063142239289E-5,1.4079349394755815E-4,1.666673258501651E-4,1.0739876122385328E-4,6.0103268230581745E-5,0.008801808251335204,0.956320914349485,5.522020479456231E-5,0.03270495648379962,0.0015993372299110194
