docId,filename,0 names identifier identifiers,1 program comprehension programs,2 complexity mcc code,3 readability understandability models,4 patterns confusing real,5 programmers blank methods,6 code source developers,7 style students programming,8 complexity measures software,9 annotations systems type
0,Sharif2010,0.5990704559533878,0.2545220396527767,0.0011023116500366694,0.0014240443235971716,7.468617538842842E-4,0.0011450999052262142,0.08569551612781935,0.05426363731665102,0.0012442334197385657,7.857998968822041E-4
1,Kasto2013,0.0031141312559941244,0.22853096059607664,0.0020208177808464923,0.002610635648950049,0.025176458780973993,0.12113561513129721,0.3475598585826309,0.004249972235464845,0.264160978799251,0.0014405711885146757
2,Jbara2014,8.898119215825408E-4,0.004076138478460622,0.8985123236624099,7.459463113100425E-4,3.912229142989277E-4,5.998289773925618E-4,0.07890191660169459,0.001214359848908872,6.517573326075835E-4,0.014016693951334352
3,Oman1990,0.02307579964502167,0.48157744299863275,0.0017321529384782559,0.002237717944430747,0.0011736052881094485,0.0017993896423237265,0.03262787018873772,0.4525860630747931,0.0019551662853978828,0.0012347919940745807
4,Gopstein2017,0.00153882086153671,0.1835115206808524,9.985695216106743E-4,0.0012900228886445313,0.5182994298465889,0.001037330835177267,0.2893852382779532,0.002100086797657269,0.0011271345727671676,7.118457172118946E-4
5,Wiedenbeck1986,0.0018422333441096817,0.9802156768556883,0.001195459533402584,0.0015443793618396772,8.099732990983456E-4,0.0012418634950973574,0.008434673042449123,0.002514165242278559,0.0013493740208180569,8.522018052184686E-4
6,Uesbeck2016,0.0013080069051390707,0.11598747606799631,0.07084600826953308,0.0010965271451086602,5.750903768984398E-4,8.817373933770106E-4,0.21598036973676787,0.13177992014061132,0.46093979086166204,6.050731029062152E-4
7,Oman1988,0.0021096371731582114,0.33222400412936925,0.0013689828591672204,0.0017685490937468134,9.275425322785438E-4,0.0014221224480722376,0.38060294746995926,0.26092707689103595,0.0015452383401449554,0.017103899063067432
8,Arnaoudova2016,9.984879433637074E-4,0.1038076031383597,0.00828129364036721,8.370514938876521E-4,0.4889738021423002,0.023573156952842234,0.3480726108605295,0.024262742753111723,7.313588667705828E-4,4.618922084675753E-4
9,Stefik2011,8.175164986475615E-4,0.07874309762861469,0.013030191213626386,6.853396788803097E-4,3.594368420233468E-4,0.5067885200190272,0.05374176081267753,0.3448571576168436,5.98803364618441E-4,3.781763250409687E-4
10,Malaquias2017,9.617799004629444E-4,0.033816721790936755,6.24116893074193E-4,8.062784411412523E-4,4.228650195021489E-4,6.483431387898E-4,0.2323380291640416,0.0013125772607458033,7.044714588297052E-4,0.7283648169324759
11,Xu2017,0.22764057751707578,0.0150863075524189,8.007471274305133E-4,0.0010344618977910923,0.009976147893598263,8.318296007307383E-4,0.7320376047002553,0.011117656045871475,9.038426988189386E-4,5.708249660091016E-4
12,Wiedenbeck1991,0.0015758991069527092,0.9107902284589817,0.001022630285740323,0.04951156996538056,6.928743325517763E-4,0.001062325562143651,0.03131049246591074,0.0021506888759269096,0.0011542931416107065,7.289978048010587E-4
